epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3069,2.55897,5.01769,1.96561,0,0,0,0,2.57715,5.02222,2.17334,8.757e-05,8.757e-05,8.757e-05
2,19.2751,2.42932,4.86736,1.7841,0,0,0,0,2.49303,4.77129,1.79982,0.000177535,0.000177535,0.000177535
3,24.2176,2.28923,4.54894,1.66597,0.01359,0.16137,0.0336,0.01481,2.45017,4.53883,1.63475,0.000265683,0.000265683,0.000265683
4,29.0911,2.22248,4.25824,1.59022,0.0101,0.34144,0.02526,0.01126,2.47334,4.19485,1.66935,0.000352015,0.000352015,0.000352015
5,33.9478,2.3224,4.00572,1.55301,0.8284,0.0218,0.05754,0.03015,2.44507,4.00674,1.66475,0.000400487,0.000400487,0.000400487
6,38.9547,2.22707,4.05547,1.55934,0.69381,0.06325,0.05297,0.02341,2.42418,4.10295,1.67471,0.000396358,0.000396358,0.000396358
7,44.1775,2.18306,3.89931,1.52901,0.60246,0.07186,0.04414,0.01927,2.39557,3.9014,1.67255,0.00039223,0.00039223,0.00039223
8,49.0852,2.19889,3.76161,1.49669,0.50747,0.10661,0.04235,0.02195,2.38867,3.79756,1.69284,0.000388102,0.000388102,0.000388102
9,54.0283,2.1821,3.685,1.49988,0.74636,0.05585,0.07756,0.03126,2.40559,3.76971,1.76067,0.000383974,0.000383974,0.000383974
10,58.9118,2.20414,3.78503,1.57191,0.68877,0.06316,0.06519,0.02195,2.37192,3.83034,1.76863,0.000379845,0.000379845,0.000379845
11,63.8157,2.12091,3.55077,1.52292,0.40659,0.0807,0.07689,0.02836,2.37084,3.87303,1.75162,0.000375717,0.000375717,0.000375717
12,68.685,2.13242,3.56099,1.55573,0.24881,0.14147,0.06766,0.02241,2.3968,3.7048,1.73463,0.000371589,0.000371589,0.000371589
13,73.4914,2.1077,3.38999,1.52794,0.55921,0.06491,0.06449,0.02539,2.35625,3.61443,1.76164,0.00036746,0.00036746,0.00036746
14,78.274,2.09362,3.44864,1.57015,0.42762,0.09409,0.08327,0.04092,2.35261,3.53136,1.74045,0.000363332,0.000363332,0.000363332
15,83.1509,2.12862,3.40174,1.56811,0.1989,0.201,0.08843,0.03972,2.40178,3.49421,1.75262,0.000359204,0.000359204,0.000359204
16,88.0516,2.12316,3.27556,1.52881,0.36821,0.15197,0.07643,0.0324,2.38712,3.46784,1.73741,0.000355076,0.000355076,0.000355076
17,92.8948,2.08577,3.21608,1.5471,0.32126,0.1407,0.08102,0.0311,2.38001,3.39811,1.77433,0.000350947,0.000350947,0.000350947
18,97.8029,2.06446,3.30679,1.53603,0.22316,0.15095,0.0822,0.03564,2.34333,3.35811,1.76591,0.000346819,0.000346819,0.000346819
19,102.685,2.07175,3.09452,1.4992,0.22531,0.1344,0.10392,0.04653,2.35506,3.38962,1.7504,0.000342691,0.000342691,0.000342691
20,107.739,2.10226,3.08764,1.51408,0.2519,0.21362,0.14527,0.05494,2.37471,3.4346,1.73129,0.000338562,0.000338562,0.000338562
21,113.284,2.06165,3.18568,1.52502,0.26399,0.21281,0.13743,0.06351,2.32011,3.39354,1.71322,0.000334434,0.000334434,0.000334434
22,118.927,2.02103,3.12322,1.49302,0.29632,0.20289,0.11024,0.04938,2.30978,3.38677,1.68991,0.000330306,0.000330306,0.000330306
23,124.384,2.03377,3.04561,1.4657,0.22362,0.1942,0.09958,0.04918,2.34917,3.37595,1.6868,0.000326177,0.000326177,0.000326177
24,130.715,2.03219,2.98763,1.47007,0.18179,0.22634,0.12568,0.05717,2.28919,3.28324,1.68564,0.000322049,0.000322049,0.000322049
25,135.743,2.00775,2.97791,1.50374,0.16796,0.1706,0.10613,0.04357,2.3141,3.28259,1.73411,0.000317921,0.000317921,0.000317921
26,140.589,2.00029,2.89752,1.48299,0.16464,0.21379,0.0897,0.03594,2.34818,3.28174,1.75445,0.000313792,0.000313792,0.000313792
27,145.361,2.00155,2.8202,1.45665,0.21991,0.17041,0.07457,0.03157,2.3281,3.28528,1.74065,0.000309664,0.000309664,0.000309664
28,150.195,1.98691,2.66188,1.44797,0.72656,0.07188,0.10554,0.03935,2.35882,3.30496,1.74404,0.000305536,0.000305536,0.000305536
29,155.082,2.0038,2.72046,1.45195,0.44597,0.13374,0.12211,0.04157,2.37154,3.30294,1.75663,0.000301408,0.000301408,0.000301408
30,159.981,1.93969,2.67098,1.44847,0.28931,0.20023,0.13808,0.04656,2.30568,3.32464,1.69537,0.000297279,0.000297279,0.000297279
31,164.856,1.95141,2.60614,1.4522,0.30127,0.20216,0.13683,0.05161,2.31449,3.38816,1.68063,0.000293151,0.000293151,0.000293151
32,169.853,1.92948,2.70223,1.43566,0.31836,0.21446,0.17405,0.07858,2.29571,3.35201,1.66885,0.000289023,0.000289023,0.000289023
33,174.954,1.92166,2.60569,1.44785,0.28705,0.2167,0.18096,0.08683,2.30295,3.2952,1.69916,0.000284894,0.000284894,0.000284894
34,179.858,1.92871,2.65286,1.43491,0.20409,0.21241,0.13563,0.06299,2.3029,3.35794,1.69413,0.000280766,0.000280766,0.000280766
35,184.713,1.88497,2.66813,1.3763,0.25685,0.23169,0.13089,0.05983,2.30479,3.39698,1.72868,0.000276638,0.000276638,0.000276638
36,189.692,1.92198,2.60651,1.44884,0.32086,0.15435,0.12585,0.06759,2.26865,3.50583,1.75007,0.000272509,0.000272509,0.000272509
