                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5528,                 5.0239,                  1.965,                      0,                      0,                      0,                      0,                 2.5327,                 4.9913,                 2.1108,              8.757e-05,              8.757e-05,              8.757e-05
                      2,                  2.404,                 4.8759,                 1.8087,                      0,                      0,                      0,                      0,                 2.4027,                 4.8052,                 1.8185,             0.00017576,             0.00017576,             0.00017576
                      3,                 2.2935,                 4.5968,                 1.6947,                0.02007,                0.13651,                0.03408,                0.01478,                 2.3601,                 4.5492,                 1.6226,             0.00026032,             0.00026032,             0.00026032
                      4,                 2.2237,                  4.288,                 1.6048,                0.01086,                0.34288,                0.04321,                 0.0255,                 2.4244,                 4.2398,                  1.633,             0.00034124,             0.00034124,             0.00034124
                      5,                 2.3386,                 4.0903,                  1.563,                0.01059,                0.43787,                0.03817,                0.00914,                  2.431,                 4.0581,                 1.6435,             0.00038397,             0.00038397,             0.00038397
                      6,                 2.2449,                 4.0777,                 1.5487,                0.57631,                0.06554,                0.03538,                0.01399,                 2.4365,                 4.1089,                 1.6507,             0.00037572,             0.00037572,             0.00037572
                      7,                 2.1889,                 3.9163,                 1.5255,                0.45041,                 0.1023,                0.04146,                0.01929,                 2.4311,                 3.9451,                 1.6849,             0.00036746,             0.00036746,             0.00036746
                      8,                  2.216,                 3.7778,                 1.5047,                0.56129,                0.07409,                0.04438,                0.02133,                 2.4311,                 3.8752,                 1.7176,              0.0003592,              0.0003592,              0.0003592
                      9,                 2.2078,                 3.7067,                 1.5142,                0.29219,                0.22239,                0.05622,                0.02679,                 2.4134,                 3.6644,                 1.7473,             0.00035095,             0.00035095,             0.00035095
                     10,                 2.1999,                 3.8029,                  1.562,                0.23984,                0.17602,                0.07185,                0.03636,                   2.38,                 3.6363,                 1.7322,             0.00034269,             0.00034269,             0.00034269
                     11,                 2.1483,                 3.6649,                 1.5487,                0.51987,                0.07417,                0.09623,                0.04603,                 2.3671,                   3.67,                 1.7568,             0.00033443,             0.00033443,             0.00033443
                     12,                 2.1574,                 3.6576,                 1.6026,                0.53389,                0.11492,                0.11123,                0.05317,                  2.359,                 3.6914,                 1.7629,             0.00032618,             0.00032618,             0.00032618
                     13,                 2.0861,                 3.5546,                 1.5506,                0.31501,                0.15317,                0.10185,                0.04921,                 2.3569,                  3.617,                 1.7459,             0.00031792,             0.00031792,             0.00031792
                     14,                 2.1008,                 3.5434,                 1.5855,                 0.2434,                0.13801,                0.07483,                0.03406,                 2.3409,                  3.576,                  1.743,             0.00030966,             0.00030966,             0.00030966
                     15,                 2.0917,                 3.4724,                 1.5659,                0.32533,                0.20774,                0.07755,                0.03369,                 2.3179,                 3.5699,                 1.7315,             0.00030141,             0.00030141,             0.00030141
                     16,                  2.119,                 3.3485,                 1.5439,                 0.2716,                0.19042,                0.09329,                0.03441,                 2.3178,                 3.4756,                 1.7156,             0.00029315,             0.00029315,             0.00029315
                     17,                 2.0977,                 3.2984,                 1.5639,                0.30742,                0.19442,                 0.0828,                0.03721,                 2.2793,                  3.426,                 1.7199,             0.00028489,             0.00028489,             0.00028489
