epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.144,2.61126,5.07272,2.04555,0,0,0,0,2.48964,4.94298,2.15458,7.089e-05,7.089e-05,7.089e-05
2,17.7629,2.46419,4.93191,1.87716,0,0,0,0,2.40042,4.80707,1.80712,0.000144505,0.000144505,0.000144505
3,22.5473,2.33538,4.64036,1.66593,0.01015,0.06351,0.00926,0.00549,2.36839,4.62465,1.59869,0.000216634,0.000216634,0.000216634
4,27.1137,2.29032,4.32014,1.58243,0.01321,0.35415,0.02625,0.00799,2.29518,4.33615,1.57313,0.000287277,0.000287277,0.000287277
5,31.6407,2.21777,4.09556,1.551,0.0107,0.46523,0.05522,0.02093,2.28614,4.04547,1.61502,0.000356433,0.000356433,0.000356433
6,36.3502,2.2606,3.91941,1.58725,0.55574,0.0679,0.04775,0.01145,2.31627,3.88892,1.67431,0.000396358,0.000396358,0.000396358
7,40.8688,2.22506,3.76181,1.55614,0.56331,0.08124,0.06219,0.0234,2.40405,3.98473,1.76114,0.00039223,0.00039223,0.00039223
8,45.4357,2.19262,3.73,1.58444,0.80297,0.02827,0.05293,0.0298,2.38063,4.05866,1.74187,0.000388102,0.000388102,0.000388102
9,49.9359,2.12166,3.6096,1.53702,0.3459,0.17291,0.07966,0.03077,2.34812,3.64192,1.73267,0.000383974,0.000383974,0.000383974
10,54.6258,2.16296,3.61856,1.55319,0.37112,0.14278,0.05874,0.02403,2.3305,3.51164,1.72771,0.000379845,0.000379845,0.000379845
11,59.143,2.12292,3.45327,1.5031,0.65513,0.0573,0.08279,0.03328,2.29807,3.52406,1.64957,0.000375717,0.000375717,0.000375717
12,63.619,2.13616,3.60219,1.53427,0.43669,0.09328,0.09013,0.03252,2.31595,3.49432,1.66342,0.000371589,0.000371589,0.000371589
13,68.2415,2.17783,3.39362,1.56759,0.5302,0.12482,0.12523,0.05458,2.25839,3.49817,1.61812,0.00036746,0.00036746,0.00036746
14,72.7673,2.10697,3.23788,1.51077,0.31867,0.12351,0.11232,0.04449,2.29421,3.44677,1.66221,0.000363332,0.000363332,0.000363332
15,77.3349,2.11232,3.29181,1.54468,0.29756,0.1879,0.11805,0.05052,2.32807,3.28346,1.72232,0.000359204,0.000359204,0.000359204
16,81.8244,2.09258,3.24643,1.53314,0.64998,0.08307,0.11486,0.04607,2.30995,3.27217,1.70133,0.000355076,0.000355076,0.000355076
17,86.4367,2.01645,3.23192,1.49614,0.31269,0.18,0.07516,0.03352,2.27198,3.21618,1.70358,0.000350947,0.000350947,0.000350947
18,90.9493,2.06537,3.12321,1.5416,0.65691,0.09241,0.11836,0.05656,2.26538,3.23815,1.72847,0.000346819,0.000346819,0.000346819
19,95.6774,2.03955,3.1199,1.51185,0.22893,0.16166,0.08055,0.03482,2.28355,3.24097,1.69411,0.000342691,0.000342691,0.000342691
20,100.243,2.07658,3.08723,1.54881,0.56696,0.10961,0.15553,0.05972,2.2669,3.20801,1.66208,0.000338562,0.000338562,0.000338562
21,104.783,2.0388,2.97219,1.50982,0.24783,0.24792,0.14158,0.05791,2.30685,3.25158,1.64237,0.000334434,0.000334434,0.000334434
22,109.287,2.04819,2.87343,1.4709,0.27069,0.19308,0.17032,0.08067,2.29052,3.16724,1.64182,0.000330306,0.000330306,0.000330306
23,114.18,2.03397,2.92336,1.47625,0.60877,0.11968,0.1551,0.07751,2.24168,3.17135,1.64507,0.000326177,0.000326177,0.000326177
24,118.673,2.02832,2.87496,1.47569,0.19942,0.12354,0.12831,0.05969,2.21191,3.24583,1.63947,0.000322049,0.000322049,0.000322049
25,123.176,1.968,2.80669,1.46148,0.26158,0.11713,0.12434,0.05753,2.258,3.27593,1.65444,0.000317921,0.000317921,0.000317921
26,127.649,1.98445,2.59626,1.45467,0.56191,0.09041,0.11284,0.05071,2.28152,3.19882,1.67769,0.000313792,0.000313792,0.000313792
27,132.177,2.04127,2.72354,1.47679,0.32809,0.1393,0.13365,0.05346,2.29278,3.11743,1.73347,0.000309664,0.000309664,0.000309664
28,136.694,1.94947,2.58746,1.47089,0.36216,0.17749,0.17359,0.07347,2.25682,3.02232,1.69007,0.000305536,0.000305536,0.000305536
29,141.135,2.00082,2.68029,1.44184,0.36845,0.2026,0.14869,0.06468,2.26679,3.0427,1.64558,0.000301408,0.000301408,0.000301408
30,145.611,1.8877,2.68149,1.41188,0.37076,0.19223,0.1512,0.07371,2.2308,3.09823,1.64455,0.000297279,0.000297279,0.000297279
31,150.152,1.94774,2.56108,1.45595,0.28997,0.19963,0.15415,0.06744,2.25025,3.13389,1.70162,0.000293151,0.000293151,0.000293151
32,154.803,1.95497,2.5513,1.44396,0.29217,0.24608,0.15146,0.06308,2.278,3.14935,1.72656,0.000289023,0.000289023,0.000289023
33,159.49,1.94429,2.49346,1.46241,0.25577,0.21275,0.14346,0.07165,2.30662,3.0855,1.71748,0.000284894,0.000284894,0.000284894
34,164.375,1.92945,2.57674,1.44787,0.46056,0.17452,0.17762,0.08547,2.28231,3.10595,1.70167,0.000280766,0.000280766,0.000280766
35,169.064,1.93203,2.60285,1.46033,0.56558,0.1659,0.17879,0.08634,2.27536,3.15801,1.69394,0.000276638,0.000276638,0.000276638
36,173.645,1.91501,2.40628,1.40691,0.75044,0.10457,0.1885,0.0732,2.25195,3.09856,1.67087,0.000272509,0.000272509,0.000272509
37,178.209,1.90607,2.32701,1.40073,0.45492,0.11757,0.12376,0.05526,2.2824,3.0018,1.65626,0.000268381,0.000268381,0.000268381
38,182.713,1.92468,2.38976,1.44643,0.41825,0.13753,0.19975,0.09958,2.28573,2.98092,1.68414,0.000264253,0.000264253,0.000264253
39,187.281,1.89045,2.39372,1.43126,0.50205,0.1322,0.2272,0.10369,2.2761,2.983,1.68517,0.000260125,0.000260125,0.000260125
40,191.867,1.87034,2.39648,1.42839,0.27807,0.23105,0.19109,0.10049,2.25728,3.06285,1.67672,0.000255996,0.000255996,0.000255996
41,196.397,1.88234,2.27055,1.37869,0.19131,0.22478,0.17068,0.07957,2.24789,3.14399,1.67165,0.000251868,0.000251868,0.000251868
42,200.863,1.86495,2.23765,1.3933,0.64909,0.13053,0.15365,0.06709,2.32154,3.28001,1.70769,0.00024774,0.00024774,0.00024774
43,205.35,1.87249,2.28528,1.43,0.49388,0.12299,0.15226,0.06763,2.29908,3.24943,1.66497,0.000243611,0.000243611,0.000243611
44,210.055,1.84709,2.18537,1.38773,0.19356,0.19045,0.15411,0.07597,2.25128,3.14534,1.64531,0.000239483,0.000239483,0.000239483
45,214.823,1.85393,2.24907,1.39734,0.27157,0.1857,0.18945,0.09782,2.28956,3.08446,1.68685,0.000235355,0.000235355,0.000235355
46,219.584,1.80994,2.22917,1.37513,0.25185,0.22993,0.1787,0.07954,2.31941,3.06704,1.69014,0.000231226,0.000231226,0.000231226
47,224.423,1.81262,2.15998,1.38491,0.17858,0.21283,0.1951,0.09771,2.30352,3.09111,1.68648,0.000227098,0.000227098,0.000227098
