epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5257,2.51919,5.04757,2.01154,0,0,0,0,2.52221,5.16684,2.17027,7.089e-05,7.089e-05,7.089e-05
2,55.793,2.38703,4.86448,1.87042,0,0,0,0,2.43547,4.98955,1.87088,0.00014306,0.00014306,0.00014306
3,81.1917,2.32106,4.65466,1.72767,0.01242,0.10273,0.02828,0.02278,2.36363,4.75038,1.66654,0.000212258,0.000212258,0.000212258
4,108.402,2.32588,4.42297,1.67837,0.00954,0.28176,0.01663,0.00807,2.3501,4.61329,1.69495,0.000278483,0.000278483,0.000278483
5,134.441,2.24792,4.16112,1.58049,0.00745,0.46693,0.02219,0.00939,2.32301,4.3633,1.70363,0.000341737,0.000341737,0.000341737
6,160.317,2.24114,4.01695,1.59151,0.13563,0.15854,0.05199,0.02084,2.32854,4.10012,1.70916,0.000375717,0.000375717,0.000375717
7,186.223,2.1475,3.89003,1.56687,0.40977,0.15813,0.0511,0.0183,2.29106,4.01314,1.68447,0.00036746,0.00036746,0.00036746
8,212.123,2.17952,3.74361,1.58186,0.37528,0.15341,0.09325,0.03352,2.38135,3.8997,1.75508,0.000359204,0.000359204,0.000359204
9,238.391,2.19174,3.72344,1.61062,0.20536,0.18568,0.05773,0.02574,2.34829,3.90824,1.74357,0.000350947,0.000350947,0.000350947
10,265.594,2.16723,3.53286,1.55226,0.28579,0.17028,0.05666,0.02091,2.30736,3.87412,1.76421,0.000342691,0.000342691,0.000342691
11,292.487,2.14058,3.4776,1.54802,0.34635,0.16647,0.08488,0.03316,2.28721,3.87621,1.74752,0.000334434,0.000334434,0.000334434
12,318.637,2.11042,3.37522,1.54936,0.64355,0.05682,0.0816,0.03076,2.28121,3.7138,1.73483,0.000326177,0.000326177,0.000326177
13,344.864,2.10464,3.35983,1.54053,0.75759,0.06491,0.11867,0.04359,2.32093,3.61673,1.7686,0.000317921,0.000317921,0.000317921
14,370.966,2.09803,3.32203,1.55249,0.3743,0.14483,0.13789,0.05709,2.34942,3.71001,1.7393,0.000309664,0.000309664,0.000309664
15,397.187,2.09042,3.23284,1.49733,0.25135,0.22453,0.10539,0.04946,2.34054,3.60985,1.76473,0.000301408,0.000301408,0.000301408
16,423.456,2.0434,3.32753,1.52658,0.26653,0.24969,0.11205,0.04944,2.29139,3.48728,1.73003,0.000293151,0.000293151,0.000293151
17,450.12,2.0514,3.11892,1.49662,0.49396,0.15138,0.14091,0.05297,2.2845,3.44006,1.70085,0.000284894,0.000284894,0.000284894
18,476.541,2.04181,3.17963,1.49652,0.28999,0.2008,0.13861,0.05302,2.27162,3.52453,1.68052,0.000276638,0.000276638,0.000276638
19,502.919,2.05066,2.98331,1.51445,0.29987,0.1901,0.11658,0.0459,2.30506,3.48261,1.71973,0.000268381,0.000268381,0.000268381
20,528.428,2.05064,2.94237,1.50384,0.2587,0.21898,0.12189,0.05296,2.29691,3.52049,1.70596,0.000260125,0.000260125,0.000260125
21,554.11,2.01931,3.08587,1.50678,0.44841,0.15495,0.151,0.07381,2.25657,3.39167,1.67458,0.000251868,0.000251868,0.000251868
22,610.993,2.01666,3.0545,1.52619,0.45968,0.12622,0.15382,0.073,2.27416,3.34846,1.68679,0.000243611,0.000243611,0.000243611
