                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6225,                 5.3289,                 1.3245,                      0,                      0,                      0,                      0,                0.98779,                 4.6791,                 1.0134,              7.923e-05,              7.923e-05,              7.923e-05
                      2,                 1.4794,                 3.9581,                 1.2003,                 0.4375,                0.91304,                0.91786,                0.57762,                 1.1259,                 4.1946,                 1.0238,             0.00015941,             0.00015941,             0.00015941
                      3,                 1.4749,                 2.8041,                 1.2156,                      1,                0.47864,                0.83811,                0.55434,                 1.2696,                 3.1704,                 1.0411,             0.00023629,             0.00023629,             0.00023629
                      4,                 1.4202,                 2.6328,                  1.239,                      1,                0.45596,                0.90733,                0.62065,                 1.1128,                 2.9771,                 1.0314,             0.00030986,             0.00030986,             0.00030986
                      5,                 1.3544,                 2.3784,                 1.2385,                0.90505,                0.82902,                 0.9514,                0.66302,                 1.1132,                 2.2123,                 1.0728,             0.00038013,             0.00038013,             0.00038013
                      6,                 1.3317,                 2.0838,                 1.2137,                0.91772,                0.82609,                0.96012,                0.67224,                 1.0937,                 1.9134,                 1.0643,             0.00037572,             0.00037572,             0.00037572
                      7,                 1.3737,                 2.0829,                 1.2049,                0.95731,                0.97537,                0.98958,                 0.6587,                 1.1389,                 1.8276,                 1.0764,             0.00036746,             0.00036746,             0.00036746
                      8,                   1.34,                 2.1156,                 1.1976,                0.91932,                0.99119,                0.96841,                0.64819,                 1.0585,                 1.5599,                 1.0354,              0.0003592,              0.0003592,              0.0003592
                      9,                 1.3145,                 1.9194,                 1.1624,                 0.9522,                0.86621,                0.94021,                0.65756,                 1.1374,                 1.4646,                 1.0604,             0.00035095,             0.00035095,             0.00035095
                     10,                 1.2749,                 1.8753,                 1.1658,                0.95591,                0.94304,                0.97603,                0.67304,                 1.1195,                 1.3939,                 1.0349,             0.00034269,             0.00034269,             0.00034269
                     11,                 1.1919,                 1.7868,                 1.1232,                0.93419,                      1,                0.97542,                0.71025,                 1.0987,                 1.3918,                 1.0522,             0.00033443,             0.00033443,             0.00033443
                     12,                  1.197,                 1.8432,                 1.1345,                0.81293,                0.95652,                0.92199,                0.62837,                 1.1675,                 1.5115,                  1.089,             0.00032618,             0.00032618,             0.00032618
                     13,                 1.2313,                 1.8539,                  1.128,                0.88743,                      1,                0.98633,                0.69829,                 1.1136,                 1.3406,                  1.063,             0.00031792,             0.00031792,             0.00031792
                     14,                 1.1445,                  1.734,                  1.108,                0.94628,                      1,                0.99333,                0.72036,                 1.0606,                 1.1381,                 1.0525,             0.00030966,             0.00030966,             0.00030966
